ISIN,PARENT ID,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Return On Asset,Return On Equity,Total Debt to Asset,WACC Cost of Debt,Issuer Credit Rating,Market of Issue,Country of Issue,Sector,Use of Proceeds,Principal Currency,Maturity,Issue Date,Coupon,Amount Issued (USD),Preferred RIC,Issuer
XS2385061820,4296926109,73.96,86.74,71.61,55.31,-3.4,2.91,0.41,0.04,A+,Eurobond,European Union,Utility ,Clean Transport,US Dollar,24/09/2026,24/09/2021,1.13,300000000,KR238506182=,Korea Electric Power Corp
SE0013882602,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,25/09/2026,25/09/2020,3.41,13848369,SE0013882602=,Kungsleden AB
SE0013882610,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,25/09/2026,25/09/2020,1.59,50777355,SE0013882610=,Kungsleden AB
SE0013360351,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,01/10/2026,20/08/2021,2.97,32312862,SE0013360351=,Atrium Ljungberg AB
KR6004172BA1,4295881228,27.26,35.37,14.21,33.59,3.46,12.73,0.34,0.05,AA-,Domestic,South Korea,Retail Stores ,Green Construction,South Korean Won,07/10/2026,07/10/2021,2.44,43089827,KR6004172BA=,Shinsegae Inc
FR0013213295,4296004552,75.18,95.1,72.2,43.59,1.7,4.28,0.19,0.03,BBB,Domestic,France,Utility ,Energy Efficiency,Euro,13/10/2026,13/10/2016,1,1753331329,FR0013213295=,Electricite de France SA
FR00140005T0,4295867361,78.76,91.01,91.08,36.23,8.82,8.01,0.22,0.04,A1+,Domestic,France,Chemicals,Eligible Green Projects,Euro,14/10/2026,14/10/2020,0.13,300571085,FR00140005T0=,Arkema SA
SE0013883246,4295890312,70.27,81.63,84.42,43.74,1.3,3.28,0.11,0.06,BB,Domestic,Sweden,Leasing,Clean Transport,Swedish Krona,14/10/2026,14/10/2021,1.29,92322463,SE0013883246=,Hufvudstaden AB
SE0013883253,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Green Construction,Swedish Krona,15/10/2026,15/10/2021,1.54,36928985,SE0013883253=,Fabege AB
SE0013883261,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Green Construction,Swedish Krona,15/10/2026,15/10/2021,1.95,55393478,SE0013883261=,Fabege AB
TH3545036A00,4298077124,57.37,57.14,60.61,53.53,8.56,20.34,0.53,0.03,A+,Domestic,Thailand,Oil and Gas,Alternative Energy,Thai Baht,16/10/2026,16/10/2019,2.74,80472103,EA26OA=TS,Energy Absolute PCL
NO0010905490,4295885457,48.1,32.66,45.54,57.8,1.2,5.91,0.21,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,17/11/2026,17/11/2020,1.4,122508183,NO1090549=,Sparebank 1 SMN
NO0010905474,4295885457,48.1,32.66,45.54,57.8,1.2,5.91,0.21,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,17/11/2026,17/11/2020,2.98,196013093,NO1090547=,Sparebank 1 SMN
JP373480CKB0,4295876533,64.28,86.11,56.46,48.35,6.97,11.13,0.22,0,BBB,Domestic,Japan,Electronics,Capital expenditure,Japanese Yen,27/11/2026,28/11/2019,0.15,136407038,JP00116594=,Nidec Corp
JP303971AMC1,4295878450,37.69,63.28,28.93,16.06,3.06,4.81,0.44,0.01,A-,Domestic,Japan,Real Estate,Green Construction,Japanese Yen,07/12/2026,07/12/2021,0.14,34101759,JP02018953=,Japan Metropolitan Fund Investment Corp
JP344360AMC8,4295876961,72.54,86.42,82.49,39.41,4.27,11.6,0.12,0,BBB,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,09/12/2026,09/12/2021,0.1,68203519,JP00401801=,Taisei Corp
US549498AA11,4297338934,16.49,10.09,11.58,33.8,-55.6,12.73,0.26,0.06,A+,Domestic,United States,Automotive,Clean Transport,US Dollar,15/12/2026,14/12/2021,1.25,2012500000,549498AA1=,Lucid Group
NZRYMD0010L2,4295885240,54.44,52.51,40.61,72.01,3.14,8.75,0.24,0.06,BB+,Domestic,New Zealand,Health Care,Bridge Financing,New Zealand Dollar,18/12/2026,18/12/2020,2.55,89069931,NZRYM1226=,Ryman Healthcare Ltd
FR0013469996,4295868420,70.82,79.33,83.67,48.45,2.95,6.68,0.29,0.04,BBB,Domestic,France,Home Builders,Energy Efficiency,Euro,20/12/2026,20/12/2019,2.26,83663672,FR0013469996=,Nexity SA
SE0013104304,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,15/01/2027,15/01/2021,2.47,27696739,SE0013104304=,Kungsleden AB
NO0010980683,5000064677,53.11,67.95,44.16,52.25,15.9,22.89,0.23,0.06,A+,Domestic,Norway,Food Processors,Clean Transport,Norwegian Krone,22/01/2027,22/04/2021,3.49,343022913,NO1098068=,SalMar ASA
SE0013104353,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,02/02/2027,02/02/2021,1.27,32312862,SE0013104353=,Fabege AB
KR6000882C20,4295881078,47.6,25,37.69,66.7,0.87,12.73,0.11,0.05,AA-,Domestic,South Korea,Chemicals,Clean Transport,South Korean Won,05/02/2027,08/02/2022,3.41,35908189,KR6000882C2=,Hanwha Corp
NO0012446485,5050471052,45.42,43.41,63.38,21.48,1.1,7.96,0.46,0.04,A+,Domestic,Norway,Banking,Green Construction,Norwegian Krone,22/02/2027,22/02/2022,3.05,107807201,NO1244648=,Sparebanken Sor
NO0012446493,5050471052,45.42,43.41,63.38,21.48,1.1,7.96,0.46,0.04,A+,Domestic,Norway,Banking,Green Construction,Norwegian Krone,22/02/2027,22/02/2022,2.89,88205892,NO1244649=,Sparebanken Sor
KR6034222C28,4295882602,74.58,73.82,79.14,70.62,-3.94,-0.8,0.33,0.05,AA-,Domestic,South Korea,Electronics,Circular Economy,South Korean Won,23/02/2027,23/02/2022,3.66,89770474,KR6034222C2=,LG Display Co Ltd
SE0013883477,4295890312,70.27,81.63,84.42,43.74,1.3,3.28,0.11,0.06,BB,Domestic,Sweden,Leasing,Clean Transport,Swedish Krona,25/02/2027,25/02/2022,2.18,46161231,SE0013883477=,Hufvudstaden AB
BE0002832138,8589934262,63.21,90.12,77.47,32.79,0.77,7.7,0.07,0.03,A+,Domestic,Belgium,Banking,Clean Transport,Euro,01/03/2027,01/12/2021,0.25,751427712,BE0002832138=,Kbc Groep NV
SE0017071459,4295890203,43.75,48.88,37.49,45.67,2.3,5.89,0.52,0.04,BB,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,01/03/2027,01/03/2022,2.64,13848369,SE0017071459=,Fastighets AB Balder
SE0017071467,4295890203,43.75,48.88,37.49,45.67,2.3,5.89,0.52,0.04,BB,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,01/03/2027,01/03/2022,2.77,55393478,SE0017071467=,Fastighets AB Balder
JP370520AN33,4295880559,60.6,67.12,58.33,56.78,1.58,-28.08,0.39,0.06,AA-,Domestic,Japan,Airline,Clean Transport,Japanese Yen,01/03/2027,01/03/2022,0.7,68203519,JP11019201=,Japan Airlines Co Ltd
SE0013360401,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Green Construction,Swedish Krona,08/03/2027,08/09/2021,2.47,13848369,SE0013360401=,Fabege AB
SE0016274054,4295890333,64.21,60.01,73.47,57.09,8.8,10.36,0.2,0.03,A-,Domestic,Sweden,Industrials ,Climate Change Adaptation,Swedish Krona,08/03/2027,08/09/2021,2.25,92322463,SE0016274054=,Trelleborg AB
CH0593893925,4295893493,65.28,61.33,64.25,68.28,1.23,9.85,0.17,0.06,BBB,Foreign,Switzerland,Banking,Aquatic Biodiversity,Swiss Franc,31/03/2027,17/02/2021,0.07,263157894,CH59389392=,First Abu Dhabi Bank PJSC
ES0305079016,5043378579,80.71,76.65,90.81,77.24,3.9,35.45,0.13,0.05,A+,Domestic,Spain,Utility ,Energy Efficiency,Euro,05/04/2027,05/04/2022,4,52599939,ES0305079016=TE,Grenergy Renovables SA
KR6003672C44,4295881204,50.8,43.84,55.09,56.94,4.67,12.73,0.25,0.06,AA-,Domestic,South Korea,Industrials ,Clean Transport,South Korean Won,14/04/2027,14/04/2022,3.72,71816379,KR6003672C4=,Posco Chemical Co Ltd
JP322860AN40,4295880528,58.2,78.88,42.39,43.6,1.5,12.73,0.56,0.01,AA-,Domestic,Japan,Utility ,Clean Transport,Japanese Yen,23/04/2027,14/04/2022,0.33,204610557,JP05479503=,Kansai Electric Power Co Inc
CH1142512339,4297881113,51.37,56.45,66.85,28.02,1.08,8.26,0.25,0.05,A+,Foreign,Switzerland,Banking,Clean Transport,Swiss Franc,26/04/2027,26/01/2022,0.6,202429149,CH114251233=,Banco de Credito e Inversiones
SE0013883550,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,28/04/2027,28/04/2022,3.14,46161231,SE0013883550=,Atrium Ljungberg AB
SE0013102183,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,29/04/2027,29/04/2021,1.62,27696739,SE0013102183=,Atrium Ljungberg AB
TH7545037502,5001110722,63,50.56,65.36,81.1,1.5,9.13,0.65,0.07,A+,Domestic,Thailand,Utility ,Renewable Energy,Thai Baht,11/05/2027,11/05/2022,3.79,80472103,BGRIM275A=TS,BGrimm Power PCL
JP324640AN50,4295880665,41.13,65.97,14.82,33.08,-1.5,4.97,0.69,0.05,AA-,Domestic,Japan,Utility ,Climate Change Adaptation,Japanese Yen,25/05/2027,24/05/2022,0.35,204610557,JP05069508=,Kyushu Electric Power Co Inc
NO0012534025,4295885437,45.43,15.04,48.57,53.25,1.35,12.39,0.15,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,27/05/2027,27/05/2022,3.7,98006546,NO1253402=,Sparebank 1 Nord-Norge
NO0012534017,4295885437,45.43,15.04,48.57,53.25,1.35,12.39,0.15,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,27/05/2027,27/05/2022,3.49,24501636,NO1253401=,Sparebank 1 Nord-Norge
NZPCTDT003C7,4295885135,48.37,38.54,38.27,68.98,3.3,4.13,0.35,0.06,AA-,Domestic,New Zealand,Real Estate,Green Construction,New Zealand Dollar,28/05/2027,28/05/2021,2.85,89069931,NZPCT0527=,Precinct Properties New Zealand Ltd
JP313480AN64,4295877299,71.25,93.02,73.23,42.53,3.17,4.35,0.27,0.01,BBB,Domestic,Japan,Machinery,Essential Services,Japanese Yen,04/06/2027,06/06/2022,0.39,75023871,JP00497013=,IHI Corp
JP338603AN63,4295880726,65.57,73.19,60.81,62.44,3.28,-1.3,0.35,0.01,AA-,Domestic,Japan,Metals/Mining,Clean Transport,Japanese Yen,09/06/2027,09/06/2022,0.33,170508798,JP00365411=,JFE Holdings Inc
TH6488037602,5038911471,68.24,52.16,88.64,69.04,1.48,7.36,0.42,0.06,A+,Domestic,Thailand,Utility ,Energy Efficiency,Thai Baht,10/06/2027,10/06/2022,3.04,79470198,GPSC276A=TS,Global Power Synergy PCL
CH1184694789,4295885457,48.1,32.66,45.54,57.8,1.2,5.91,0.21,0.04,BB-,Foreign,Switzerland,Banking,Eligible Green Projects,Swiss Franc,15/06/2027,15/06/2022,1.5,177125506,CH118469478=,Sparebank 1 SMN
JP332960AN63,4295877905,46.82,60.45,33.26,52.82,2.8,-10.4,0.28,0.01,BBB,Domestic,Japan,Electronics,Clean Transport,Japanese Yen,16/06/2027,16/06/2022,1.1,34101759,JP00146707=,Sanken Electric Co Ltd
BE0974365976,8589934262,63.21,90.12,77.47,32.79,0.77,7.7,0.07,0.03,A+,Domestic,Belgium,Banking,Clean Transport,Euro,16/06/2027,16/06/2020,0.38,500951808,BE0974365976=,Kbc Groep NV
BE0002865468,4295859495,47.19,52.04,38.96,49.27,9.2,7.54,0.42,0.07,BBB,Domestic,Belgium,Real Estate,Eligible Green Projects,Euro,17/06/2027,17/06/2022,3.6,44819824,DEA3K576=F,Intervest Offices & Warehouses NV
FR0013428489,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,21/06/2027,21/06/2019,0.38,751427712,FR0013428489=,Engie SA
JP304755AN61,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,22/06/2027,22/06/2022,0.3,20461055,JP00123283=,Nippon Prologis REIT Inc
JP303971AN61,4295878450,37.69,63.28,28.93,16.06,3.06,4.81,0.44,0.01,A-,Domestic,Japan,Real Estate,Green Construction,Japanese Yen,30/06/2027,30/06/2022,0.34,27281407,JP03018953=,Japan Metropolitan Fund Investment Corp
CH1125186663,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Foreign,Switzerland,Banking,Clean Transport,Swiss Franc,13/07/2027,13/07/2021,0.15,232793522,CH112518666=,BNP Paribas SA
JP389320AN76,4295880542,58.64,86.3,60.9,29.41,2.83,6.59,0.45,0.01,AA-,Domestic,Japan,Service ,Green Construction,Japanese Yen,14/07/2027,14/07/2022,0.39,272814077,JP00798801=,Mitsui Fudosan Co Ltd
JP314250AN78,4295880409,75.73,85.42,61.6,86.69,6.3,3,0.3,0.01,AA-,Domestic,Japan,Oil and Gas,Climate Change Adaptation,Japanese Yen,14/07/2027,14/07/2022,0.48,68203519,JP00155019=,Idemitsu Kosan Co Ltd
CH0487087295,4296668953,44.9,32.91,35.72,77.23,3.9,10.11,0.16,0.02,BBB,Domestic,Switzerland,Utility ,Energy Efficiency,Swiss Franc,29/07/2027,29/07/2019,0.25,202429149,CH48708729=,BKW AG
NO0012629411,4295885457,48.1,32.66,45.54,57.8,1.2,5.91,0.21,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,26/08/2027,26/08/2022,3.87,47750019,NO0012629411=TE,Sparebank 1 SMN
NO0012629429,4295885457,48.1,32.66,45.54,57.8,1.2,5.91,0.21,0.04,BB-,Domestic,Norway,Banking,Clean Transport,Norwegian Krone,26/08/2027,26/08/2022,4.52,52525021,NO0012629429=TE,Sparebank 1 SMN
JP349100AN92,4295877397,19.14,22.3,5.96,36.19,4.3,1.57,0.31,0.01,BBB,Domestic,Japan,Metals/Mining,Equipment Upgrade,Japanese Yen,01/09/2027,01/09/2022,0.43,68203519,JP00155471=,Daido Steel Co Ltd
JP375290AN97,5000022643,54.34,25.59,42.77,77.4,0.1,3.4,0.11,0.01,A+,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,01/09/2027,01/09/2022,0.26,102305278,JP00016178=,Japan Post Holdings Co Ltd
SE0013360393,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,06/09/2027,06/09/2021,2.44,27696739,SE0013360393=,Atrium Ljungberg AB
JP390000AN97,4295877302,77.81,86.22,79.26,63.1,3.04,2.97,0.21,0.01,BBB,Domestic,Japan,Machinery,Renewable Energy,Japanese Yen,08/09/2027,08/09/2022,0.31,68203519,JP00407011=,Mitsubishi Heavy Industries Ltd
FR0013281755,4295867058,70.73,89.18,76.07,44.19,2.2,11.89,0.44,0.04,A1,Domestic,France,Home Builders,Energy Efficiency,Euro,13/09/2027,13/09/2017,1.5,601142170,FR0013281755=,Icade SA
FR001400CMS2,4296754257,27.67,18.93,25.37,45.51,1,2.4,0.05,0.05,A+,Domestic,France,Utility ,Energy Efficiency,Euro,14/09/2027,14/09/2022,2.88,300571085,FR001400CMS2=,Neoen
NO0011097305,4295885416,56.97,49.59,68.71,44.81,9.15,8.66,0.26,0.06,BB-,Domestic,Norway,Food Processors,Renewable Energy,Norwegian Krone,17/09/2027,17/09/2021,3.91,49003273,NO1109730=,Leroy Seafood Group ASA
SE0015810825,4295890178,82.3,85.35,86.16,71.61,15.35,15.17,0.08,0.03,BB,Domestic,Sweden,Metals/Mining,Clean Transport,Swedish Krona,22/09/2027,22/09/2022,5.53,92322463,SE0015810825=,Boliden AB
CH1210198144,4295890576,79.6,68.79,88.11,84.27,6.69,10.03,0.28,0.02,BBB,Domestic,Switzerland,Chemicals,Circular Economy,Swiss Franc,24/09/2027,26/09/2022,2.72,177125506,CH121019814=,Clariant AG
ES0213679JR9,4295889567,78.35,82.16,77.1,78.54,0.49,7.03,0.21,0.04,BB-,Domestic,Spain,Banking,Renewable Energy,Euro,06/10/2027,06/02/2020,0.63,751427712,ES213679JR=,Bankinter SA
FR00140005J1,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Domestic,France,Banking,Clean Transport,Euro,14/10/2027,14/10/2020,0.38,751427712,FR00140005J1=,BNP Paribas SA
TH0221037B09,4295892710,73.4,59.11,96.42,55.23,1.48,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,06/11/2027,06/11/2020,3.11,53533190,THBTSG27NA=,BTS Group Holdings PCL
NO0010907256,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Foreign,Norway,Home Builders,Clean Transport,Norwegian Krone,23/11/2027,23/11/2020,2.39,78405237,NO1090725=,Atrium Ljungberg AB
FR0013470010,4295868420,70.82,79.33,83.67,48.45,2.95,6.68,0.29,0.04,BBB,Domestic,France,Home Builders,Green Construction,Euro,20/12/2027,20/12/2019,2.46,155375390,FR0013470010=,Nexity SA
KR6004023B15,4295881064,76.17,87.25,75.26,61.78,4.12,12.73,0.35,0.05,AA-,Domestic,South Korea,Metals/Mining,Energy Efficiency,South Korean Won,25/01/2028,25/01/2021,1.9,100542931,KR6004023B1=,Hyundai Steel Co
FR0013284205,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,26/01/2028,26/09/2017,1.38,701332531,FR0013284205=,Gecina SA
KR6005383B24,4295881548,64.04,76.18,67.58,41.01,3.55,2.04,0.46,0.05,AA-,Domestic,South Korea,Automotive,Clean Transport,South Korean Won,09/02/2028,09/02/2021,1.73,50271465,KR6005383B2=,Hyundai Motor Co
KR6034733B21,5000049504,70.13,62.23,68.64,84.36,3.07,1.11,0.38,0.05,A+,Domestic,South Korea,Information Technology,Renewable Energy,South Korean Won,24/02/2028,24/02/2021,1.75,21544913,KR6034733B2=,SK Inc
US29355AAJ60,4298065499,54.7,55.54,74.6,37.82,19.76,49.86,0.5,0.04,A+,Domestic,United States,Electronics,Energy Efficiency,US Dollar,01/03/2028,01/03/2021,0,575000000,29355AAJ6=,Enphase Energy
KR6000273B36,4295882081,65.42,83.86,60.86,47.37,8.17,5.05,0.14,0.06,AA-,Domestic,South Korea,Automotive,Clean Transport,South Korean Won,03/03/2028,03/03/2021,1.96,35908189,KR6000273B3=,Kia Corp
ZAG000150129,4295888393,55.8,68.87,56.38,40.01,0.8,8.22,0.39,0.06,BB-,Domestic,South Africa,Home Builders,Energy Efficiency,South African Rand,09/03/2028,09/03/2018,7.8,31579897,ZAGRT26G=,Growthpoint Properties Ltd
NO0010945207,4295885361,49.36,48.28,40.76,62.38,0,12.73,0.16,0.05,BB-,Domestic,Norway,Utility ,Circular Economy,Norwegian Krone,24/03/2028,24/03/2021,2.62,48890192,NO0010945207=TE,Arendals Fossekompani ASA
FI4000496286,4295866391,80.16,74.11,81.77,86.17,20.2,20.75,0.14,0.03,BBB+,Domestic,Finland,Oil and Gas,Clean Transport,Euro,25/03/2028,25/03/2021,0.75,500951808,FI4000496286=,Neste Oyj
FR0013504677,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,27/03/2028,27/03/2020,1.75,751427712,FR0013504677=,Engie SA
FR0013245867,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,27/03/2028,27/03/2017,1.5,801522893,FR0013245867=,Engie SA
SE0013882941,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,30/03/2028,30/03/2021,1.96,36928985,SE0013882941=,Kungsleden AB
FR0014002O10,4295866637,73.37,78.87,85.46,56.12,0.6,5,0.64,0,BBB,Domestic,France,Health Care,Eligible Green Projects,Euro,01/04/2028,01/04/2021,2,500951808,FR0014002O10=,Orpea SA
SK4000018925,4295859134,61.45,86.47,62.5,50,1.2,12.73,0.07,0.03,A3,Domestic,Slovakia,Banking,Clean Transport,Euro,23/04/2028,23/04/2021,0.5,300571085,SK4000018925=,Tatra Banka as
KR6066572B50,4295881987,87.65,88.95,88.14,85.68,4.78,13.22,0.2,0.05,AA-,Domestic,South Korea,Electronics,Green Construction,South Korean Won,04/05/2028,04/05/2021,2.1,50271465,KR6066572B5=,LG Electronics Inc
FR0014006NI7,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Domestic,France,Banking,Energy Efficiency,Euro,30/05/2028,30/11/2021,0.5,1001903616,FR0014006NI7=,BNP Paribas SA
NO0011013708,4295885572,90.27,97.92,89.68,82.87,7.4,13.58,0.2,0.04,BB-,Domestic,Norway,Conglomerate,Circular Economy,Norwegian Krone,07/06/2028,07/06/2021,3.32,147009820,NO1101370=,Orkla ASA
JP320045CM66,4295876581,68.6,43.85,63.98,84.88,2.3,6.35,0.34,0.05,BBB,Domestic,Japan,Leasing,Clean Transport,Japanese Yen,14/06/2028,14/06/2021,0.21,68203519,JP02058591=,ORIX Corp
SE0013102373,4295890025,85.56,86.45,90.33,77.83,5.7,3.18,0.09,0.04,BB,Domestic,Sweden,Conglomerate,Clean Transport,Swedish Krona,21/06/2028,21/06/2021,2.59,101554710,SE0013102373=,Svenska Cellulosa SCA AB
SE0013102381,4295890025,85.56,86.45,90.33,77.83,5.7,3.18,0.09,0.04,BB,Domestic,Sweden,Conglomerate,Clean Transport,Swedish Krona,21/06/2028,21/06/2021,1.38,36928985,SE0013102381=,Svenska Cellulosa SCA AB
JP320045AM68,4295876581,68.6,43.85,63.98,84.88,2.3,6.35,0.34,0.05,BBB,Domestic,Japan,Leasing,Clean Transport,Japanese Yen,22/06/2028,22/06/2021,0.21,136407038,JP02038591=,ORIX Corp
KR6012337B76,4295881489,67.06,61.1,79.65,53.94,4.76,12.73,0.07,0.05,AA-,Domestic,South Korea,Vehicle Parts,Clean Transport,South Korean Won,09/07/2028,09/07/2021,2.08,43089827,KR6012337B7=,Hyundai Mobis Co Ltd
NZKPGD0050L3,4295885040,68.61,68.65,63.25,74.48,4.45,5.5,0.32,0.06,AA-,Domestic,New Zealand,Real Estate,Green Construction,New Zealand Dollar,19/07/2028,19/07/2021,2.85,89069931,NZKPG0728=,Kiwi Property Group Ltd
CH1199322350,4295890800,40.82,34.46,32.18,53.02,0.8,6.34,0.03,0.02,BBB,Domestic,Switzerland,Insurance,Green Construction,Swiss Franc,19/07/2028,19/07/2022,1.9,111336032,CH119932235=,Baloise Holding AG
JP393380BM75,4298187727,55.47,42.02,48.78,65.27,1.91,2.62,0.24,0.05,A+,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,28/07/2028,28/07/2021,0.46,136407038,JP00204689=,Z Holdings Corp
JP375300BM79,4295880585,83.98,76.1,87.26,89.17,28.92,24.78,0.26,0.01,AA-,Domestic,Japan,Transportation ,Energy Efficiency,Japanese Yen,28/07/2028,29/07/2021,0.38,68203519,JP00449101=,Nippon Yusen KK
JP304755AJ83,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,17/08/2028,17/08/2018,0.66,40922111,JP00073283=,Nippon Prologis REIT Inc
JP304755AN87,5038042133,30.99,45.01,18.36,26.5,3.57,12.73,0.38,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,17/08/2028,17/08/2022,0.43,15686809,JP00133283=,Nippon Prologis REIT Inc
CH1132966271,4295885437,45.43,15.04,48.57,53.25,1.35,12.39,0.15,0.04,BB-,Foreign,Switzerland,Banking,Clean Transport,Swiss Franc,15/09/2028,15/09/2021,0.13,131578947,CH113296627=,Sparebank 1 Nord-Norge
TH7411038907,4295892862,37.95,38.67,44.65,28,3.77,10.07,0.44,0.07,BBB,Domestic,Thailand,Utility ,Eligible Green Projects,Thai Baht,15/09/2028,15/09/2021,2.51,26364355,BCPG289A=TS,BCPG PCL
FR0013536661,5000039357,85.44,95.39,83.21,84.55,0.39,-0.4,0.04,0.03,A+,Domestic,France,Banking,Energy Efficiency,Euro,22/09/2028,22/09/2020,0.88,1001903616,FR0013536661=,Societe Generale SA
JP304751AM90,5037947712,31.26,52.48,18.68,18.32,3.19,12.73,0.44,0.01,A+,Domestic,Japan,Real Estate,Green Construction,Japanese Yen,28/09/2028,28/09/2021,0,40922111,JP00183281=,GLP J-REIT
JP342980AJA5,4295880494,81.79,79.23,89.75,72.89,1.55,-42.12,0.54,0.05,AA-,Domestic,Japan,Airline,Energy Efficiency,Japanese Yen,24/10/2028,24/10/2018,0.47,68203519,JP00369202=,ANA Holdings Inc
JP344040BJA4,4295878227,25.42,28.77,17.16,29.53,0.8,10.1,0.46,0.05,BBB,Domestic,Japan,Publishing,Pollution Control,Japanese Yen,25/10/2028,25/10/2018,0.86,34101759,JP00223880=,Daio Paper Corp
XS2257961818,5000258503,88.36,87,93.67,84.21,10.21,7.5,0.15,0.04,A+,Eurobond,European Union,Building Products,Energy Efficiency,Euro,19/11/2028,19/11/2020,0.13,751427712,FI225796181=,UPM-Kymmene Oyj
FR0014000PF1,4295867538,84.98,95,72.25,88.49,4.78,6.01,0.32,0.02,BB,Domestic,France,Building Products,Clean Transport,Euro,27/11/2028,27/11/2020,0,500951808,FR0014000PF1=,Vinci SA
JP315160AMC7,4295880552,14.62,19.88,9.24,16.49,8.6,10.9,0.2,0,AA-,Domestic,Japan,Oil and Gas,Clean Transport,Japanese Yen,14/12/2028,14/12/2021,0.2,34101759,JP00018088=,Iwatani Corp
JP390290AJC6,5000000933,73.7,75.87,69.02,79.29,0.29,5.62,0.25,0.05,A+,Domestic,Japan,Banking,Energy Efficiency,US Dollar,18/12/2028,18/12/2018,4.13,120000000,JP01028306=,Mitsubishi UFJ Financial Group Inc
JP304751AJC2,5037947712,31.26,52.48,18.68,18.32,3.19,12.73,0.44,0.01,A+,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,20/12/2028,20/12/2018,0.68,34783794,JP00123281=,GLP J-REIT
JP369520AMC7,4295880560,68.16,73.85,77.66,48.9,9.19,7.68,0.26,0.01,AA-,Domestic,Japan,Industrials ,Energy Efficiency,Japanese Yen,21/12/2028,21/12/2021,0.18,68203519,JP00075333=,NGK Insulators Ltd
JP525003CH18,4296004552,75.18,95.1,72.2,43.59,1.7,4.28,0.19,0.03,BBB,Foreign,Japan,Utility ,Alternative Energy,Japanese Yen,26/01/2029,26/01/2017,1.28,133678897,JP10060837=,Electricite de France SA
